TEST,RUN,SEQUENCE,SERIES,ALPHA,MACH,CONFIG,CONFTS,CONFT,TTEMP,CREYN,QINFFT,PTPSI,PINFPI,RHOSF,VINFFS,FLWA11,CA,CY,CN,CRM,CM,CYM,CL,CD,CYS,CRMS,CMS,CYMS,NAC030,NAC090,NAC150,NAC210,NAC270,NAC330,ALPWICS,MWICS,QWICS,CS2S_CL,CS2S_CD,CS2S_CS,CS2S_CRM,CS2S_CPM,CS2S_CYM
   216.0000000,    77.0000000,    13.0000000,     4.0000000,     3.9243276,     0.8507614,     3.0000000,     1.0000000,     0.0000000,    93.0662155,     5.0039339,  1305.4479980,    28.7198887,    17.8930168,     0.0031087,   916.4355469,     0.0225959,    -0.0027476,    -0.0025655,     0.5979334,    -0.0010158,     0.0363422,    -0.0001506,     0.5967195,     0.0384725,    -0.0025655,    -0.0010238,     0.0363422,    -0.0000807,    -0.0043983,    -0.0047249,    -0.0050079,    -0.0049246,    -0.0045247,    -0.0044773,     3.8909097,     0.8502629,  1304.5950928,     0.5971326,     0.0380399,    -0.0025672,    -0.0010165,     0.0363660,    -0.0001507
   216.0000000,    77.0000000,    14.0000000,     4.0000000,     4.1916027,     0.8497173,     3.0000000,     1.0000000,     0.0000000,    93.2410202,     5.0015302,  1304.2744141,    28.7334080,    17.9208851,     0.0031116,   915.5976562,     0.0221830,    -0.0030034,    -0.0022985,     0.6161649,    -0.0009945,     0.0397068,    -0.0000361,     0.6147363,     0.0423345,    -0.0022985,    -0.0009945,     0.0397068,     0.0000367,    -0.0047842,    -0.0048988,    -0.0053018,    -0.0051963,    -0.0045142,    -0.0047991,     4.1568542,     0.8492132,  1303.4100342,     0.6151702,     0.0418833,    -0.0023001,    -0.0009952,     0.0397332,    -0.0000361
   216.0000000,    77.0000000,    15.0000000,     4.0000000,     4.4252167,     0.8496475,     3.0000000,     1.0000000,     0.0000000,    93.3815002,     5.0008826,  1304.4610596,    28.7401619,    17.9263992,     0.0031117,   915.6481934,     0.0221788,    -0.0026747,    -0.0030355,     0.6319633,    -0.0009499,     0.0454088,    -0.0001699,     0.6302856,     0.0463873,    -0.0030355,    -0.0009601,     0.0454088,    -0.0000961,    -0.0033934,    -0.0038264,    -0.0040378,    -0.0038279,    -0.0036162,    -0.0034630,     4.3895221,     0.8492036,  1303.6997070,     0.6306834,     0.0458941,    -0.0030373,    -0.0009504,     0.0454353,    -0.0001700
   216.0000000,    77.0000000,    16.0000000,     4.0000000,     4.6869774,     0.8501397,     3.0000000,     1.0000000,     0.0000000,    93.4843140,     5.0027542,  1305.7723389,    28.7504539,    17.9236431,     0.0031111,   916.1968384,     0.0222727,    -0.0021115,    -0.0029745,     0.6475875,    -0.0009636,     0.0517048,    -0.0001609,     0.6455945,     0.0511035,    -0.0029745,    -0.0009736,     0.0517048,    -0.0000816,    -0.0032964,    -0.0035519,    -0.0038567,    -0.0036298,    -0.0034509,    -0.0033768,     4.6501689,     0.8496373,  1304.9107666,     0.6460544,     0.0505905,    -0.0029764,    -0.0009643,     0.0517390,    -0.0001610
   216.0000000,    77.0000000,    17.0000000,     4.0000000,     4.9499016,     0.8497262,     3.0000000,     1.0000000,     0.0000000,    93.5986328,     5.0023251,  1305.5804443,    28.7618484,    17.9384594,     0.0031127,   915.9020386,     0.0221836,    -0.0021143,    -0.0021177,     0.6637143,    -0.0009981,     0.0553966,    -0.0000799,     0.6614215,     0.0554547,    -0.0021177,    -0.0010012,     0.0553966,     0.0000066,    -0.0031935,    -0.0033899,    -0.0037245,    -0.0035368,    -0.0031061,    -0.0032446,     4.9117637,     0.8490612,  1304.4388428,     0.6620382,     0.0549563,    -0.0021196,    -0.0009990,     0.0554450,    -0.0000799
   216.0000000,    77.0000000,    18.0000000,     4.0000000,     5.1889281,     0.8503546,     3.0000000,     1.0000000,     0.0000000,    93.7393951,     5.0033126,  1306.9183350,    28.7675705,    17.9303074,     0.0031111,   916.6104736,     0.0223844,    -0.0019417,    -0.0016776,     0.6773619,    -0.0010387,     0.0594232,    -0.0000504,     0.6747617,     0.0596186,    -0.0016776,    -0.0010390,     0.0594232,     0.0000437,    -0.0024255,    -0.0024965,    -0.0028282,    -0.0027937,    -0.0022466,    -0.0024800,     5.1497502,     0.8496462,  1305.7031250,     0.6754315,     0.0591008,    -0.0016792,    -0.0010396,     0.0594785,    -0.0000505
   216.0000000,    77.0000000,    19.0000000,     4.0000000,     5.6903505,     0.8505158,     3.0000000,     1.0000000,     0.0000000,    93.8605347,     5.0034757,  1307.4973145,    28.7742310,    17.9314518,     0.0031107,   916.8626099,     0.0224682,    -0.0026499,    -0.0028956,     0.6928717,    -0.0012136,     0.0685948,    -0.0001314,     0.6897202,     0.0663540,    -0.0028956,    -0.0012206,     0.0685948,    -0.0000104,    -0.0027100,    -0.0028123,    -0.0030210,    -0.0030890,    -0.0028918,    -0.0030431,     5.6497498,     0.8498914,  1306.4261475,     0.6903339,     0.0657918,    -0.0028979,    -0.0012146,     0.0686511,    -0.0001315
   216.0000000,    77.0000000,    20.0000000,     4.0000000,     6.1965365,     0.8496723,     3.0000000,     1.0000000,     0.0000000,    93.9577789,     5.0013180,  1306.3559570,    28.7809715,    17.9513912,     0.0031129,   916.1484375,     0.0221803,    -0.0033934,    -0.0022448,     0.7108405,    -0.0005021,     0.0771337,    -0.0000509,     0.7070537,     0.0736461,    -0.0022448,    -0.0005047,     0.0771337,     0.0000036,    -0.0019584,    -0.0023411,    -0.0026450,    -0.0024962,    -0.0021647,    -0.0023252,     6.1546011,     0.8489438,  1305.1043701,     0.7077870,     0.0730669,    -0.0022469,    -0.0005026,     0.0772077,    -0.0000509
   216.0000000,    77.0000000,    21.0000000,     4.0000000,     6.7186532,     0.8499917,     3.0000000,     1.0000000,     0.0000000,    94.0324936,     5.0021515,  1307.1324463,    28.7859974,    17.9485664,     0.0031122,   916.5112305,     0.0221995,    -0.0024796,    -0.0028639,     0.7264323,    -0.0001237,     0.0771760,    -0.0000626,     0.7217337,     0.0828170,    -0.0028639,    -0.0001302,     0.0771760,    -0.0000477,     0.0000135,    -0.0002794,    -0.0004280,    -0.0003709,    -0.0001155,    -0.0004123,     6.6752205,     0.8491556,  1305.6965332,     0.7225919,     0.0822498,    -0.0028670,    -0.0001238,     0.0772609,    -0.0000627
   216.0000000,    77.0000000,    22.0000000,     4.0000000,     7.1935525,     0.8500175,     3.0000000,     1.0000000,     0.0000000,    94.1001587,     5.0028129,  1307.5384521,    28.7939587,    17.9530468,     0.0031127,   916.5916138,     0.0222091,    -0.0021528,    -0.0026142,     0.7545856,     0.0003033,     0.0659754,     0.0000077,     0.7489157,     0.0926454,    -0.0026142,     0.0003019,     0.0659754,    -0.0000304,    -0.0008725,    -0.0010121,    -0.0014463,    -0.0013356,    -0.0007495,    -0.0015227,     7.1472774,     0.8491389,  1306.0288086,     0.7498581,     0.0920089,    -0.0026173,     0.0003036,     0.0660517,     0.0000077
   216.0000000,    77.0000000,    23.0000000,     4.0000000,     7.7057467,     0.8499688,     3.0000000,     1.0000000,     0.0000000,    94.1647186,     5.0037565,  1307.9313965,    28.8044548,    17.9605007,     0.0031136,   916.5991211,     0.0221981,    -0.0023599,    -0.0009290,     0.7893279,     0.0005442,     0.0437494,     0.0001401,     0.7825165,     0.1037894,    -0.0009290,     0.0005580,     0.0437494,     0.0000659,    -0.0004101,    -0.0010108,    -0.0010915,    -0.0010661,    -0.0017538,    -0.0010910,     7.6555386,     0.8488994,  1306.0930176,     0.7837109,     0.1031116,    -0.0009303,     0.0005449,     0.0438110,     0.0001403
   216.0000000,    77.0000000,    24.0000000,     4.0000000,     8.2069445,     0.8505446,     3.0000000,     1.0000000,     0.0000000,    94.2097473,     5.0043721,  1308.8266602,    28.8024006,    17.9484673,     0.0031117,   917.1788940,     0.0224832,    -0.0019809,    -0.0012182,     0.8209560,     0.0007048,    -0.0018418,     0.0000386,     0.8128313,     0.1155193,    -0.0012182,     0.0007031,    -0.0018418,    -0.0000624,    -0.0038532,    -0.0041855,    -0.0043835,    -0.0045585,    -0.0043687,    -0.0049332,     8.1526995,     0.8493729,  1306.8140869,     0.8141944,     0.1147800,    -0.0012200,     0.0007059,    -0.0018446,     0.0000387
   216.0000000,    77.0000000,    25.0000000,     4.0000000,     8.6846886,     0.8506972,     3.0000000,     1.0000000,     0.0000000,    94.2426529,     5.0046363,  1309.1542969,    28.8038483,    17.9465237,     0.0031114,   917.3498535,     0.0225625,    -0.0003439,    -0.0023764,     0.8508767,    -0.0003837,    -0.0569922,     0.0007830,     0.8411727,     0.1284284,    -0.0023764,    -0.0002611,    -0.0569922,     0.0008320,    -0.0041202,    -0.0045426,    -0.0048201,    -0.0048986,    -0.0052036,    -0.0049940,     8.6267195,     0.8494914,  1307.0834961,     0.8426371,     0.1276341,    -0.0023802,    -0.0003843,    -0.0570825,     0.0007842
   216.0000000,    77.0000000,    26.0000000,     4.0000000,     9.2335396,     0.8501260,     3.0000000,     1.0000000,     0.0000000,    94.2823257,     5.0025201,  1308.1296387,    28.8028774,    17.9565849,     0.0031124,   916.8444824,     0.0222655,     0.0032807,    -0.0015718,     0.8498392,     0.0016062,    -0.1021453,     0.0009544,     0.8383010,     0.1398918,    -0.0015718,     0.0017385,    -0.1021453,     0.0006844,    -0.0030696,    -0.0034809,    -0.0038052,    -0.0037315,    -0.0041584,    -0.0042220,     9.1733809,     0.8486360,  1305.5683594,     0.8400940,     0.1391515,    -0.0015749,     0.0016093,    -0.1023457,     0.0009563
   216.0000000,    77.0000000,    27.0000000,     4.0000000,     9.7043667,     0.8504460,     3.0000000,     1.0000000,     0.0000000,    94.3023148,     5.0020494,  1308.3994141,    28.7967186,    17.9467678,     0.0031108,   917.1626587,     0.0224320,     0.0051248,    -0.0020115,     0.8710735,     0.0018942,    -0.1276744,     0.0009912,     0.8577452,     0.1521719,    -0.0020115,     0.0020342,    -0.1276744,     0.0006577,    -0.0035835,    -0.0040723,    -0.0042658,    -0.0044671,    -0.0045632,    -0.0050158,     9.6401653,     0.8488756,  1305.7012939,     0.8596894,     0.1513675,    -0.0020157,     0.0018981,    -0.1279382,     0.0009932
   216.0000000,    77.0000000,    28.0000000,     4.0000000,    10.1795969,     0.8500959,     3.0000000,     1.0000000,     0.0000000,    94.2936707,     5.0010500,  1307.7486572,    28.7956257,    17.9526215,     0.0031116,   916.8256226,     0.0222499,     0.0066061,    -0.0003938,     0.8917636,     0.0032973,    -0.1479131,     0.0012848,     0.8765585,     0.1643958,    -0.0003938,     0.0034725,    -0.1479131,     0.0006819,    -0.0039212,    -0.0042594,    -0.0039808,    -0.0045545,    -0.0046845,    -0.0048797,    10.1116629,     0.8483648,  1304.7728271,     0.8787534,     0.1635717,    -0.0003947,     0.0033049,    -0.1482504,     0.0012878
   216.0000000,    77.0000000,    29.0000000,     4.0000000,    10.6666946,     0.8503340,     3.0000000,     1.0000000,     0.0000000,    94.2380905,     5.0025988,  1308.2310791,    28.7972469,    17.9491882,     0.0031115,   917.0039673,     0.0223737,     0.0078739,    -0.0019923,     0.9104860,     0.0041315,    -0.1641991,     0.0011085,     0.8932959,     0.1765522,    -0.0019923,     0.0042652,    -0.1641991,     0.0003246,    -0.0044019,    -0.0048234,    -0.0045242,    -0.0050269,    -0.0052417,    -0.0054867,    10.5947552,     0.8484036,  1304.9129639,     0.8957892,     0.1757143,    -0.0019973,     0.0041420,    -0.1646166,     0.0011113
   216.0000000,    77.0000000,    30.0000000,     4.0000000,    11.1743059,     0.8502721,     3.0000000,     1.0000000,     0.0000000,    94.1397324,     5.0042043,  1308.2867432,    28.8008118,    17.9525661,     0.0031126,   916.8642578,     0.0223415,     0.0086411,    -0.0000378,     0.9311580,     0.0058572,    -0.1762485,     0.0014854,     0.9118307,     0.1892177,    -0.0000378,     0.0060340,    -0.1762485,     0.0003222,    -0.0041535,    -0.0037082,    -0.0042547,    -0.0046740,    -0.0052264,    -0.0060782,    11.0989733,     0.8482870,  1304.8739014,     0.9144641,     0.1883417,    -0.0000379,     0.0058725,    -0.1767095,     0.0014893
   216.0000000,    77.0000000,    31.0000000,     4.0000000,    11.6898727,     0.8494253,     3.0000000,     1.0000000,     0.0000000,    93.9935608,     5.0024600,  1306.5073242,    28.7936535,    17.9639111,     0.0031146,   915.9453735,     0.0221655,     0.0103029,     0.0009545,     0.9444283,     0.0076654,    -0.1598056,     0.0023599,     0.9227521,     0.2017318,     0.0009545,     0.0079845,    -0.1598056,     0.0007579,    -0.0017473,    -0.0017488,    -0.0016563,    -0.0022161,    -0.0025614,    -0.0033379,    11.6113787,     0.8471164,  1302.5327148,     0.9258427,     0.2009321,     0.0009574,     0.0076888,    -0.1602933,     0.0023671
