AOA,Baseline,Min,Max
0.000000000000000000e+00,1.378128833000000071e-09,-6.761587788000000419e-08,1.081889172000000069e-08
3.000000000000000000e+00,3.345849900000000265e-01,3.254887063999999941e-01,3.367780558999999840e-01
6.000000000000000000e+00,6.579866022999999453e-01,6.438445981000000540e-01,6.625546222999999513e-01
9.000000000000000000e+00,9.628943253999999730e-01,9.059139934000000061e-01,9.705194238000000029e-01
1.000000000000000000e+01,1.058501321000000051e+00,9.621212882999999882e-01,1.071606837999999895e+00
1.200000000000000000e+01,1.228844859999999928e+00,5.259912463000000482e-01,1.249700875000000044e+00
1.500000000000000000e+01,1.121698131000000043e+00,5.138029111999999898e-01,1.475787613000000054e+00
1.700000000000000000e+01,7.769069512999999816e-01,5.282481392000000220e-01,1.567883101999999917e+00
1.800000000000000000e+01,7.112569936999999509e-01,5.393705359999999560e-01,1.579723553000000003e+00
1.900000000000000000e+01,6.781144716000000461e-01,5.519186981999999464e-01,1.548460469999999978e+00
2.000000000000000000e+01,6.654958156000000402e-01,5.645260667999999482e-01,1.456982165999999967e+00
