AOA,Baseline,Min,Max
0.000000000000000000e+00,5.163471349000000029e-08,1.378642221000000058e-08,3.619135701000000016e-06
3.000000000000000000e+00,3.349124023999999755e-01,3.248668679999999753e-01,3.372280143999999980e-01
6.000000000000000000e+00,6.630377813000000176e-01,6.447927566000000166e-01,6.669327564000000486e-01
9.000000000000000000e+00,9.773609264000000518e-01,9.295717117999999779e-01,9.848695103000000284e-01
1.000000000000000000e+01,1.078053788000000068e+00,1.014100046000000033e+00,1.086840988000000063e+00
1.200000000000000000e+01,1.263317873000000091e+00,1.159583280000000105e+00,1.282432430999999928e+00
1.500000000000000000e+01,1.477895353999999939e+00,4.549703748000000214e-01,1.546096109000000052e+00
1.700000000000000000e+01,1.468063655999999995e+00,4.741355928000000053e-01,1.690310130000000077e+00
1.800000000000000000e+01,1.115074230000000055e+00,4.905997328999999740e-01,1.748406882999999912e+00
1.900000000000000000e+01,6.531084625999999949e-01,5.077807291000000500e-01,1.793562982999999944e+00
2.000000000000000000e+01,6.207981367999999556e-01,5.254041821999999584e-01,1.821681496000000067e+00
