X,Baseline,Min,Max
1.394652599628898315e-06,-8.751476287841796875e+00,-9.188961982727050781e+00,-6.572162508964538574e-01
6.163956186355790123e-06,-8.863522529602050781e+00,-9.303852081298828125e+00,-6.935409307479858398e-01
1.534626971988473088e-05,-8.990283012390136719e+00,-9.433944702148437500e+00,-7.347688674926757812e-01
3.023051613126881421e-05,-9.127753257751464844e+00,-9.573875427246093750e+00,-7.808105349540710449e-01
5.240907921688631177e-05,-9.274736404418945312e+00,-9.722624778747558594e+00,-8.315098881721496582e-01
8.383968088310211897e-05,-9.429641723632812500e+00,-9.878936767578125000e+00,-8.865224719047546387e-01
1.269167696591466665e-04,-9.590451240539550781e+00,-1.004110908508300781e+01,-9.456116557121276855e-01
1.845523947849869728e-04,-9.754462242126464844e+00,-1.020646381378173828e+01,-1.008826017379760742e+00
2.602657186798751354e-04,-9.918309211730957031e+00,-1.037165641784667969e+01,-1.076408028602600098e+00
3.582793287932872772e-04,-1.007770729064941406e+01,-1.053195285797119141e+01,-1.148158907890319824e+00
4.836183506995439529e-04,-1.022725772857666016e+01,-1.068156242370605469e+01,-1.222538828849792480e+00
6.422073347494006157e-04,-1.036043167114257812e+01,-1.081359767913818359e+01,-1.296508193016052246e+00
8.409577421844005585e-04,-1.046938419342041016e+01,-1.091977500915527344e+01,-1.366839289665222168e+00
1.087836571969091892e-03,-1.054557514190673828e+01,-1.099146270751953125e+01,-1.431787014007568359e+00
1.391907921060919762e-03,-1.058028602600097656e+01,-1.101962661743164062e+01,-1.490896582603454590e+00
1.763340784236788750e-03,-1.056529712677001953e+01,-1.099561119079589844e+01,-1.542864441871643066e+00
2.213377738371491432e-03,-1.049350929260253906e+01,-1.091324996948242188e+01,-1.584490418434143066e+00
2.754269633442163467e-03,-1.036069107055664062e+01,-1.076778793334960938e+01,-1.612352371215820312e+00
3.399185370653867722e-03,-1.016646671295166016e+01,-1.055868434906005859e+01,-1.624114155769348145e+00
4.162112250924110413e-03,-9.913829803466796875e+00,-1.028876781463623047e+01,-1.618618130683898926e+00
5.057768896222114563e-03,-9.608175277709960938e+00,-9.964135169982910156e+00,-1.595577597618103027e+00
6.101547274738550186e-03,-9.257523536682128906e+00,-9.593780517578125000e+00,-1.555248022079467773e+00
7.309496868401765823e-03,-8.872141838073730469e+00,-9.188239097595214844e+00,-1.498220801353454590e+00
8.698353543877601624e-03,-8.462809562683105469e+00,-8.758625030517578125e+00,-1.425179958343505859e+00
1.028561685234308243e-02,-8.039871215820312500e+00,-8.315658569335937500e+00,-1.336528182029724121e+00
1.208965852856636047e-02,-7.612558364868164062e+00,-7.868917465209960938e+00,-1.231790781021118164e+00
1.412985753268003464e-02,-7.188600540161132812e+00,-7.426394939422607422e+00,-1.109329104423522949e+00
1.642673276364803314e-02,-6.774123668670654297e+00,-6.994380950927734375e+00,-9.680597782135009766e-01
1.900209486484527588e-02,-6.373660564422607422e+00,-6.577525615692138672e+00,-8.129895925521850586e-01
2.187915891408920288e-02,-5.990328788757324219e+00,-6.179026126861572266e+00,-6.622521877288818359e-01
2.508267015218734741e-02,-5.626060485839843750e+00,-5.800801277160644531e+00,-5.443028211593627930e-01
2.863898128271102905e-02,-5.281828880310058594e+00,-5.443782329559326172e+00,-4.782214164733886719e-01
3.257611393928527832e-02,-4.957888126373291016e+00,-5.108156681060791016e+00,-4.574271440505981445e-01
3.692378848791122437e-02,-4.653961181640625000e+00,-4.793569564819335938e+00,-4.569142162799835205e-01
4.171341657638549805e-02,-4.369400024414062500e+00,-4.499292850494384766e+00,-4.491060376167297363e-01
4.697804152965545654e-02,-4.103312969207763672e+00,-4.224357128143310547e+00,-4.515976309776306152e-01
5.275225266814231873e-02,-3.854656696319580078e+00,-3.967651605606079102e+00,-4.558941721916198730e-01
5.907202512025833130e-02,-3.622310400009155273e+00,-3.727993965148925781e+00,-4.591867029666900635e-01
6.597451120615005493e-02,-3.405142307281494141e+00,-3.504183053970336914e+00,-4.611143767833709717e-01
7.349774986505508423e-02,-3.202042818069458008e+00,-3.295036554336547852e+00,-4.620459377765655518e-01
8.168035000562667847e-02,-3.011929750442504883e+00,-3.099412679672241211e+00,-4.624875783920288086e-01
9.056098759174346924e-02,-2.833746194839477539e+00,-2.916226863861083984e+00,-4.628343284130096436e-01
1.001779511570930481e-01,-2.666507482528686523e+00,-2.744461297988891602e+00,-4.632710814476013184e-01
1.105684861540794373e-01,-2.509315967559814453e+00,-2.583169221878051758e+00,-4.635775089263916016e-01
1.217680871486663818e-01,-2.361332654953002930e+00,-2.431476593017578125e+00,-4.637860357761383057e-01
1.338097155094146729e-01,-2.221786975860595703e+00,-2.288580179214477539e+00,-4.638949632644653320e-01
1.467229425907135010e-01,-2.089972734451293945e+00,-2.153749465942382812e+00,-4.640716910362243652e-01
1.605329364538192749e-01,-1.965261936187744141e+00,-2.026323795318603516e+00,-4.642265737056732178e-01
