X,Baseline,Min,Max
6.163956186355790123e-06,-3.615754127502441406e+00,-3.699247598648071289e+00,-3.202084064483642578e+00
3.023051613126881421e-05,-3.772699594497680664e+00,-3.824394464492797852e+00,-3.314774036407470703e+00
8.383968088310211897e-05,-3.977095365524291992e+00,-4.042616844177246094e+00,-3.492798566818237305e+00
1.845523947849869728e-04,-4.227666378021240234e+00,-4.280930995941162109e+00,-3.746683835983276367e+00
3.582793287932872772e-04,-4.525866031646728516e+00,-4.641031265258789062e+00,-4.053121566772460938e+00
6.422073347494006157e-04,-4.835815906524658203e+00,-4.999651908874511719e+00,-4.357081413269042969e+00
1.087836571969091892e-03,-5.101108074188232422e+00,-5.219743728637695312e+00,-4.613069057464599609e+00
1.763340784236788750e-03,-5.284101486206054688e+00,-5.351835727691650391e+00,-4.802147865295410156e+00
2.754269633442163467e-03,-5.359467506408691406e+00,-5.411620616912841797e+00,-4.901091575622558594e+00
4.162112250924110413e-03,-5.308239459991455078e+00,-5.357550144195556641e+00,-4.879762172698974609e+00
6.101547274738550186e-03,-5.130822181701660156e+00,-5.176120758056640625e+00,-4.732646465301513672e+00
8.698353543877601624e-03,-4.851414680480957031e+00,-4.891829967498779297e+00,-4.489637851715087891e+00
1.208965852856636047e-02,-4.504680156707763672e+00,-4.540704250335693359e+00,-4.183946609497070312e+00
1.642673276364803314e-02,-4.127092361450195312e+00,-4.159652233123779297e+00,-3.845674037933349609e+00
2.187915891408920288e-02,-3.748970270156860352e+00,-3.779305934906005859e+00,-3.502426624298095703e+00
2.863898128271102905e-02,-3.389279842376708984e+00,-3.418333768844604492e+00,-3.173227071762084961e+00
3.692378848791122437e-02,-3.057294368743896484e+00,-3.085583686828613281e+00,-2.868001222610473633e+00
4.697804152965545654e-02,-2.756162405014038086e+00,-2.783719539642333984e+00,-2.590095758438110352e+00
5.907202512025833130e-02,-2.485491514205932617e+00,-2.511791706085205078e+00,-2.339266300201416016e+00
7.349774986505508423e-02,-2.242874860763549805e+00,-2.267143249511718750e+00,-2.113408565521240234e+00
9.056098759174346924e-02,-2.024969816207885742e+00,-2.046684265136718750e+00,-1.909536957740783691e+00
1.105684861540794373e-01,-1.828280687332153320e+00,-1.847393631935119629e+00,-1.724540948867797852e+00
1.338097155094146729e-01,-1.649603247642517090e+00,-1.666369199752807617e+00,-1.555560946464538574e+00
1.605329364538192749e-01,-1.486196637153625488e+00,-1.500936388969421387e+00,-1.400169730186462402e+00
1.909159719944000244e-01,-1.335728645324707031e+00,-1.348790645599365234e+00,-1.256280660629272461e+00
2.250339835882186890e-01,-1.196678519248962402e+00,-1.208433508872985840e+00,-1.122524857521057129e+00
2.628273069858551025e-01,-1.067652106285095215e+00,-1.078405022621154785e+00,-9.975885152816772461e-01
3.040743172168731689e-01,-9.478139877319335938e-01,-9.577900171279907227e-01,-8.806655406951904297e-01
3.483752608299255371e-01,-8.366206288337707520e-01,-8.459910750389099121e-01,-7.711954712867736816e-01
3.951519131660461426e-01,-7.340232729911804199e-01,-7.428679466247558594e-01,-6.691035032272338867e-01
4.436675012111663818e-01,-6.397300362586975098e-01,-6.481023430824279785e-01,-5.741046667098999023e-01
4.930667281150817871e-01,-5.533125996589660645e-01,-5.612333416938781738e-01,-4.858675897121429443e-01
5.424322485923767090e-01,-4.743538200855255127e-01,-4.818572402000427246e-01,-4.042140245437622070e-01
5.908507704734802246e-01,-4.033956229686737061e-01,-4.105115830898284912e-01,-3.298792541027069092e-01
6.374782323837280273e-01,-3.381693959236145020e-01,-3.448945879936218262e-01,-2.613779306411743164e-01
6.815953850746154785e-01,-2.793672382831573486e-01,-2.856467962265014648e-01,-2.011659741401672363e-01
7.226455211639404297e-01,-2.257498651742935181e-01,-2.324691712856292725e-01,-1.513327658176422119e-01
7.602518200874328613e-01,-1.768496483564376831e-01,-1.846427023410797119e-01,-1.159816384315490723e-01
7.942146658897399902e-01,-1.333327889442443848e-01,-1.410182118415832520e-01,-9.674438834190368652e-02
8.244937658309936523e-01,-9.448859840631484985e-02,-1.009044647216796875e-01,-7.290611416101455688e-02
8.511794805526733398e-01,-5.775470659136772156e-02,-6.578116863965988159e-02,-4.938137531280517578e-02
8.744604587554931641e-01,-2.418033778667449951e-02,-4.548359289765357971e-02,-2.418033778667449951e-02
8.945918679237365723e-01,2.575198188424110413e-03,-3.542727231979370117e-02,4.617020487785339355e-03
9.118667840957641602e-01,2.484265528619289398e-02,-3.284203633666038513e-02,2.906306087970733643e-02
9.265933036804199219e-01,4.545437544584274292e-02,-3.395795449614524841e-02,4.922025650739669800e-02
9.390770196914672852e-01,6.438938528299331665e-02,-3.814472630620002747e-02,6.782245635986328125e-02
9.496093988418579102e-01,8.103053271770477295e-02,-4.511640965938568115e-02,8.480363339185714722e-02
9.584597945213317871e-01,9.518961608409881592e-02,-5.336435139179229736e-02,9.972554445266723633e-02
9.658718705177307129e-01,1.068555489182472229e-01,-5.953906476497650146e-02,1.123171523213386536e-01
9.720618128776550293e-01,1.162371858954429626e-01,-6.050429493188858032e-02,1.226817891001701355e-01
9.772189259529113770e-01,1.236872300505638123e-01,-5.675775185227394104e-02,1.310507804155349731e-01
9.815072417259216309e-01,1.296131461858749390e-01,-5.051920935511589050e-02,1.376986503601074219e-01
9.850671887397766113e-01,1.343204528093338013e-01,-4.379824921488761902e-02,1.429551988840103149e-01
9.880185127258300781e-01,1.380717307329177856e-01,-3.654281422495841980e-02,1.470604985952377319e-01
9.904625415802001953e-01,1.411097347736358643e-01,-2.889232151210308075e-02,1.506630033254623413e-01
9.924846291542053223e-01,1.435343325138092041e-01,-2.074779011309146881e-02,1.552982032299041748e-01
9.941562414169311523e-01,1.455478519201278687e-01,-1.230559591203927994e-02,1.594756841659545898e-01
9.955372810363769531e-01,1.472253799438476562e-01,-3.988793119788169861e-03,1.632619947195053101e-01
9.966776967048645020e-01,1.485732644796371460e-01,3.488039597868919373e-03,1.666655540466308594e-01
9.976189732551574707e-01,1.495984792709350586e-01,9.529644623398780823e-03,1.696224361658096313e-01
9.983955621719360352e-01,1.505057960748672485e-01,1.340159866958856583e-02,1.721738129854202271e-01
9.990361928939819336e-01,1.508245766162872314e-01,1.241946220397949219e-02,1.739437282085418701e-01
9.995644688606262207e-01,1.531088054180145264e-01,7.286740001291036606e-03,1.786970943212509155e-01
