X,Baseline,Min,Max
6.163956186355790123e-06,-3.645941257476806641e+00,-3.676876544952392578e+00,-3.251030683517456055e+00
3.023051613126881421e-05,-3.781309127807617188e+00,-3.834043741226196289e+00,-3.376561641693115234e+00
8.383968088310211897e-05,-3.970792770385742188e+00,-4.032824516296386719e+00,-3.553061723709106445e+00
1.845523947849869728e-04,-4.194750785827636719e+00,-4.259551048278808594e+00,-3.763878107070922852e+00
3.582793287932872772e-04,-4.443854331970214844e+00,-4.508385181427001953e+00,-4.001610279083251953e+00
6.422073347494006157e-04,-4.698436260223388672e+00,-4.761410713195800781e+00,-4.249199867248535156e+00
1.087836571969091892e-03,-4.930496215820312500e+00,-4.991368770599365234e+00,-4.480933666229248047e+00
1.763340784236788750e-03,-5.105142593383789062e+00,-5.163559436798095703e+00,-4.661707401275634766e+00
2.754269633442163467e-03,-5.187096118927001953e+00,-5.242152214050292969e+00,-4.758645534515380859e+00
4.162112250924110413e-03,-5.151038169860839844e+00,-5.201875209808349609e+00,-4.747423171997070312e+00
6.101547274738550186e-03,-4.992946624755859375e+00,-5.039076805114746094e+00,-4.621173381805419922e+00
8.698353543877601624e-03,-4.731907844543457031e+00,-4.773342609405517578e+00,-4.396132946014404297e+00
1.208965852856636047e-02,-4.402186393737792969e+00,-4.439147472381591797e+00,-4.103485584259033203e+00
1.642673276364803314e-02,-4.040210723876953125e+00,-4.072980880737304688e+00,-3.776901006698608398e+00
2.187915891408920288e-02,-3.675035476684570312e+00,-3.704092741012573242e+00,-3.443973064422607422e+00
2.863898128271102905e-02,-3.325635194778442383e+00,-3.351485252380371094e+00,-3.123111486434936523e+00
3.692378848791122437e-02,-3.001963615417480469e+00,-3.025085926055908203e+00,-2.824157714843750000e+00
4.697804152965545654e-02,-2.707670211791992188e+00,-2.728464841842651367e+00,-2.551023721694946289e+00
5.907202512025833130e-02,-2.442611217498779297e+00,-2.461396932601928711e+00,-2.303818464279174805e+00
7.349774986505508423e-02,-2.204645872116088867e+00,-2.221681833267211914e+00,-2.080768346786499023e+00
9.056098759174346924e-02,-1.990774512290954590e+00,-2.006290197372436523e+00,-1.879317998886108398e+00
1.105684861540794373e-01,-1.797811269760131836e+00,-1.812013626098632812e+00,-1.696644902229309082e+00
1.338097155094146729e-01,-1.622672915458679199e+00,-1.635736823081970215e+00,-1.529992818832397461e+00
1.605329364538192749e-01,-1.462860345840454102e+00,-1.474939823150634766e+00,-1.377084136009216309e+00
1.909159719944000244e-01,-1.315742373466491699e+00,-1.326975345611572266e+00,-1.235445141792297363e+00
2.250339835882186890e-01,-1.179880142211914062e+00,-1.190433025360107422e+00,-1.103780150413513184e+00
2.628273069858551025e-01,-1.053917527198791504e+00,-1.064005732536315918e+00,-9.807714819908142090e-01
3.040743172168731689e-01,-9.365963339805603027e-01,-9.464069604873657227e-01,-8.650202155113220215e-01
3.483752608299255371e-01,-8.276705145835876465e-01,-8.373823165893554688e-01,-7.559639215469360352e-01
