X,Baseline,Min,Max
1.394652599628898315e-06,-8.751474380493164062e+00,-9.188825607299804688e+00,-6.571820378303527832e-01
6.163956186355790123e-06,-8.863521575927734375e+00,-9.303714752197265625e+00,-6.935062408447265625e-01
1.534626971988473088e-05,-8.990281105041503906e+00,-9.433806419372558594e+00,-7.347335815429687500e-01
3.023051613126881421e-05,-9.127751350402832031e+00,-9.573736190795898438e+00,-7.807746529579162598e-01
5.240907921688631177e-05,-9.274734497070312500e+00,-9.722484588623046875e+00,-8.314733505249023438e-01
8.383968088310211897e-05,-9.429639816284179688e+00,-9.878794670104980469e+00,-8.864852190017700195e-01
1.269167696591466665e-04,-9.590449333190917969e+00,-1.004096603393554688e+01,-9.455735683441162109e-01
1.845523947849869728e-04,-9.754460334777832031e+00,-1.020631980895996094e+01,-1.008787155151367188e+00
2.602657186798751354e-04,-9.918307304382324219e+00,-1.037151145935058594e+01,-1.076368212699890137e+00
3.582793287932872772e-04,-1.007770633697509766e+01,-1.053180789947509766e+01,-1.148118138313293457e+00
4.836183506995439529e-04,-1.022725677490234375e+01,-1.068141651153564453e+01,-1.222497224807739258e+00
6.422073347494006157e-04,-1.036042976379394531e+01,-1.081345176696777344e+01,-1.296465992927551270e+00
8.409577421844005585e-04,-1.046938228607177734e+01,-1.091962909698486328e+01,-1.366796612739562988e+00
1.087836571969091892e-03,-1.054557418823242188e+01,-1.099131870269775391e+01,-1.431743621826171875e+00
1.391907921060919762e-03,-1.058028411865234375e+01,-1.101948356628417969e+01,-1.490852475166320801e+00
1.763340784236788750e-03,-1.056529521942138672e+01,-1.099547100067138672e+01,-1.542819857597351074e+00
2.213377738371491432e-03,-1.049350833892822266e+01,-1.091311359405517578e+01,-1.584445476531982422e+00
2.754269633442163467e-03,-1.036068916320800781e+01,-1.076765632629394531e+01,-1.612307429313659668e+00
3.399185370653867722e-03,-1.016646575927734375e+01,-1.055855655670166016e+01,-1.624069690704345703e+00
4.162112250924110413e-03,-9.913828849792480469e+00,-1.028864574432373047e+01,-1.618573784828186035e+00
5.057768896222114563e-03,-9.608173370361328125e+00,-9.964018821716308594e+00,-1.595533609390258789e+00
6.101547274738550186e-03,-9.257521629333496094e+00,-9.593670845031738281e+00,-1.555204510688781738e+00
7.309496868401765823e-03,-8.872140884399414062e+00,-9.188136100769042969e+00,-1.498177647590637207e+00
8.698353543877601624e-03,-8.462808609008789062e+00,-8.758528709411621094e+00,-1.425136685371398926e+00
1.028561685234308243e-02,-8.039870262145996094e+00,-8.315568923950195312e+00,-1.336484074592590332e+00
1.208965852856636047e-02,-7.612557411193847656e+00,-7.868834495544433594e+00,-1.231744647026062012e+00
1.412985753268003464e-02,-7.188600063323974609e+00,-7.426317691802978516e+00,-1.109279632568359375e+00
1.642673276364803314e-02,-6.774123191833496094e+00,-6.994309425354003906e+00,-9.680063724517822266e-01
1.900209486484527588e-02,-6.373659610748291016e+00,-6.577459335327148438e+00,-8.129358291625976562e-01
2.187915891408920288e-02,-5.990327835083007812e+00,-6.178965091705322266e+00,-6.622074246406555176e-01
2.508267015218734741e-02,-5.626059532165527344e+00,-5.800744533538818359e+00,-5.442771315574645996e-01
2.863898128271102905e-02,-5.281828403472900391e+00,-5.443729877471923828e+00,-4.782167077064514160e-01
3.257611393928527832e-02,-4.957887649536132812e+00,-5.108108043670654297e+00,-4.574356973171234131e-01
3.692378848791122437e-02,-4.653960704803466797e+00,-4.793524742126464844e+00,-4.569161236286163330e-01
4.171341657638549805e-02,-4.369399547576904297e+00,-4.499250888824462891e+00,-4.491057395935058594e-01
4.697804152965545654e-02,-4.103312492370605469e+00,-4.224318027496337891e+00,-4.515968561172485352e-01
5.275225266814231873e-02,-3.854656219482421875e+00,-3.967615365982055664e+00,-4.558935761451721191e-01
5.907202512025833130e-02,-3.622309923171997070e+00,-3.727960109710693359e+00,-4.591862559318542480e-01
6.597451120615005493e-02,-3.405141830444335938e+00,-3.504151582717895508e+00,-4.611139893531799316e-01
7.349774986505508423e-02,-3.202042579650878906e+00,-3.295006990432739258e+00,-4.620456099510192871e-01
8.168035000562667847e-02,-3.011929512023925781e+00,-3.099384784698486328e+00,-4.624873697757720947e-01
9.056098759174346924e-02,-2.833745956420898438e+00,-2.916200876235961914e+00,-4.628342092037200928e-01
1.001779511570930481e-01,-2.666507244110107422e+00,-2.744436979293823242e+00,-4.632709622383117676e-01
1.105684861540794373e-01,-2.509315729141235352e+00,-2.583146095275878906e+00,-4.635774493217468262e-01
1.217680871486663818e-01,-2.361332416534423828e+00,-2.431454896926879883e+00,-4.637860357761383057e-01
1.338097155094146729e-01,-2.221786737442016602e+00,-2.288559675216674805e+00,-4.638949334621429443e-01
1.467229425907135010e-01,-2.089972496032714844e+00,-2.153729915618896484e+00,-4.640716612339019775e-01
1.605329364538192749e-01,-1.965261816978454590e+00,-2.026305437088012695e+00,-4.642265439033508301e-01
1.752594709396362305e-01,-1.847094058990478516e+00,-1.905693769454956055e+00,-4.643409252166748047e-01
1.909159719944000244e-01,-1.734943628311157227e+00,-1.791367173194885254e+00,-4.644349515438079834e-01
2.075083106756210327e-01,-1.628350973129272461e+00,-1.682863473892211914e+00,-4.644975662231445312e-01
2.250339835882186890e-01,-1.526942253112792969e+00,-1.579772353172302246e+00,-4.644705653190612793e-01
2.434810250997543335e-01,-1.430375456809997559e+00,-1.481737136840820312e+00,-4.373431503772735596e-01
2.628273069858551025e-01,-1.338330507278442383e+00,-1.388451814651489258e+00,-4.057442843914031982e-01
2.830398082733154297e-01,-1.250569820404052734e+00,-1.299646139144897461e+00,-3.900194168090820312e-01
3.040743172168731689e-01,-1.166861414909362793e+00,-1.215097546577453613e+00,-3.845869302749633789e-01
3.258751332759857178e-01,-1.087015271186828613e+00,-1.134605765342712402e+00,-3.844496011734008789e-01
