AOA,Baseline,Min,Max
0.000000000000000000e+00,3.527229884000000175e-07,1.442209901000000000e-08,3.527229884000000175e-07
3.000000000000000000e+00,3.343922938000000178e-01,3.247779243999999732e-01,3.371078242000000169e-01
6.000000000000000000e+00,6.633176461999999995e-01,6.448280901999999815e-01,6.681327763000000086e-01
9.000000000000000000e+00,9.795637499999999553e-01,9.346876259999999936e-01,9.846135029999999455e-01
1.000000000000000000e+01,1.080726716999999892e+00,1.021417296999999946e+00,1.087378436999999920e+00
1.200000000000000000e+01,1.272524361000000104e+00,1.163134530000000000e+00,1.281536103999999954e+00
1.500000000000000000e+01,1.499535325999999946e+00,1.138294919000000016e+00,1.545680394999999985e+00
1.700000000000000000e+01,1.571352228000000073e+00,5.069834877000000128e-01,1.690693540999999911e+00
1.800000000000000000e+01,1.545545168000000080e+00,5.098244570000000087e-01,1.749512445999999999e+00
1.900000000000000000e+01,1.412141963000000056e+00,5.206664250000000438e-01,1.795987878999999898e+00
2.000000000000000000e+01,8.784886267999999498e-01,5.338702140000000096e-01,1.826898979000000089e+00
