h,CL,CD,CMz
1.643101949751937449e-02,8.578249999999999487e-01,5.462199999999999694e-02,-1.660500000000000170e-02
8.282869524032145797e-03,1.052869999999999973e+00,1.752099999999999838e-02,-1.056999999999999953e-02
4.158588368895720783e-03,1.076694999999999958e+00,1.336999999999999994e-02,-8.921999999999999376e-03
2.083622745480778488e-03,1.079245000000000010e+00,1.259900000000000082e-02,-8.795000000000000734e-03
1.042898594004776792e-03,1.079045000000000032e+00,1.249199999999999963e-02,-8.862999999999999351e-03
5.217217413148526580e-04,1.078670000000000018e+00,1.249199999999999963e-02,-8.916999999999999579e-03
2.609290618536602908e-04,1.078392999999999935e+00,1.250199999999999922e-02,-8.951999999999999888e-03
