AOA,Baseline,Min,Max
0.000000000000000000e+00,3.527229884000000175e-07,-3.700966255000000000e-07,3.527229884000000175e-07
3.000000000000000000e+00,3.343922938000000178e-01,3.261167127999999860e-01,3.375193436999999741e-01
6.000000000000000000e+00,6.633176461999999995e-01,6.470444502000000098e-01,6.696795024999999679e-01
9.000000000000000000e+00,9.795637499999999553e-01,9.359395528999999714e-01,9.860174642000000267e-01
1.000000000000000000e+01,1.080726716999999892e+00,1.020719444999999892e+00,1.088738516999999906e+00
1.200000000000000000e+01,1.272524361000000104e+00,1.155643286000000103e+00,1.284433453999999974e+00
1.500000000000000000e+01,1.499535325999999946e+00,5.165417879000000489e-01,1.545889341000000083e+00
1.700000000000000000e+01,1.571352228000000073e+00,5.114286014000000158e-01,1.686419204999999977e+00
1.800000000000000000e+01,1.545545168000000080e+00,5.225731511000000218e-01,1.741850270999999895e+00
1.900000000000000000e+01,1.412141963000000056e+00,5.358595855000000130e-01,1.784014471000000102e+00
2.000000000000000000e+01,8.784886267999999498e-01,5.501392774000000152e-01,1.809121312999999898e+00
