X,Baseline,Min,Max
8.095960879472841043e-08,-8.900543212890625000e+00,-9.162554740905761719e+00,-6.299067974090576172e+00
3.318793062589975307e-07,-8.928030967712402344e+00,-9.190407752990722656e+00,-6.321946620941162109e+00
7.653416673747415189e-07,-8.956058502197265625e+00,-9.218751907348632812e+00,-6.345283508300781250e+00
1.394652599628898315e-06,-8.984663009643554688e+00,-9.247645378112792969e+00,-6.369093418121337891e+00
2.233878831248148344e-06,-9.013898849487304688e+00,-9.277147293090820312e+00,-6.393404006958007812e+00
3.297886223663226701e-06,-9.043761253356933594e+00,-9.307269096374511719e+00,-6.418220043182373047e+00
4.602382432494778186e-06,-9.074234008789062500e+00,-9.338009834289550781e+00,-6.443554401397705078e+00
6.163956186355790123e-06,-9.105303764343261719e+00,-9.369361877441406250e+00,-6.469410419464111328e+00
8.000125490070786327e-06,-9.136961936950683594e+00,-9.401321411132812500e+00,-6.495793342590332031e+00
1.012937900668475777e-05,-9.169204711914062500e+00,-9.433880805969238281e+00,-6.522713184356689453e+00
1.257123221876099706e-05,-9.202025413513183594e+00,-9.467032432556152344e+00,-6.550172805786132812e+00
1.534626971988473088e-05,-9.235420227050781250e+00,-9.500768661499023438e+00,-6.578173637390136719e+00
1.847620296757668257e-05,-9.269383430480957031e+00,-9.535081863403320312e+00,-6.606719970703125000e+00
2.198392030550166965e-05,-9.303907394409179688e+00,-9.569963455200195312e+00,-6.635805606842041016e+00
2.589354880910832435e-05,-9.338984489440917969e+00,-9.605401992797851562e+00,-6.665424346923828125e+00
3.023051613126881421e-05,-9.374604225158691406e+00,-9.641386985778808594e+00,-6.695571422576904297e+00
3.502159961499273777e-05,-9.410757064819335938e+00,-9.677904129028320312e+00,-6.726236820220947266e+00
4.029500269098207355e-05,-9.447435379028320312e+00,-9.714939117431640625e+00,-6.757413864135742188e+00
4.608041490428149700e-05,-9.484638214111328125e+00,-9.752474784851074219e+00,-6.789093017578125000e+00
5.240907921688631177e-05,-9.522343635559082031e+00,-9.790491104125976562e+00,-6.821253299713134766e+00
5.931387204327620566e-05,-9.560518264770507812e+00,-9.828967094421386719e+00,-6.853871822357177734e+00
6.682935782009735703e-05,-9.599129676818847656e+00,-9.867879867553710938e+00,-6.886933326721191406e+00
7.499189086956903338e-05,-9.638150215148925781e+00,-9.907202720642089844e+00,-6.920424461364746094e+00
8.383968088310211897e-05,-9.677549362182617188e+00,-9.946907043457031250e+00,-6.954327106475830078e+00
9.341284749098122120e-05,-9.717301368713378906e+00,-9.986961364746093750e+00,-6.988623142242431641e+00
1.037535475916229188e-04,-9.757373809814453125e+00,-1.002732944488525391e+01,-7.023291587829589844e+00
1.149060481111519039e-04,-9.797730445861816406e+00,-1.006797409057617188e+01,-7.058303833007812500e+00
1.269167696591466665e-04,-9.838332176208496094e+00,-1.010885238647460938e+01,-7.093628883361816406e+00
1.398344320477917790e-04,-9.879136085510253906e+00,-1.014992141723632812e+01,-7.129235267639160156e+00
1.537101343274116516e-04,-9.920091629028320312e+00,-1.019113063812255859e+01,-7.165085792541503906e+00
1.685974275460466743e-04,-9.961153030395507812e+00,-1.023242759704589844e+01,-7.201144695281982422e+00
1.845523947849869728e-04,-1.000227451324462891e+01,-1.027375602722167969e+01,-7.237380981445312500e+00
2.016337675740942359e-04,-1.004340267181396484e+01,-1.031505393981933594e+01,-7.273752212524414062e+00
2.199030859628692269e-04,-1.008446788787841797e+01,-1.035625743865966797e+01,-7.310203075408935547e+00
2.394246257608756423e-04,-1.012539100646972656e+01,-1.039729499816894531e+01,-7.346679210662841797e+00
2.602657186798751354e-04,-1.016609382629394531e+01,-1.043809223175048828e+01,-7.383125305175781250e+00
2.824966795742511749e-04,-1.020650005340576172e+01,-1.047857093811035156e+01,-7.419483661651611328e+00
3.061908937525004148e-04,-1.024652957916259766e+01,-1.051864624023437500e+01,-7.455698966979980469e+00
3.314251080155372620e-04,-1.028609561920166016e+01,-1.055823040008544922e+01,-7.491706371307373047e+00
3.582793287932872772e-04,-1.032510852813720703e+01,-1.059722805023193359e+01,-7.527435779571533203e+00
3.868369967676699162e-04,-1.036347293853759766e+01,-1.063554191589355469e+01,-7.562819004058837891e+00
4.171850741840898991e-04,-1.040108585357666016e+01,-1.067306804656982422e+01,-7.597782135009765625e+00
4.494141030590981245e-04,-1.043784618377685547e+01,-1.070969772338867188e+01,-7.632250308990478516e+00
4.836183506995439529e-04,-1.047364807128906250e+01,-1.074531841278076172e+01,-7.666147232055664062e+00
5.198959261178970337e-04,-1.050838470458984375e+01,-1.077981185913085938e+01,-7.699377536773681641e+00
5.583487218245863914e-04,-1.054193592071533203e+01,-1.081305885314941406e+01,-7.731842994689941406e+00
5.990825593471527100e-04,-1.057416534423828125e+01,-1.084493160247802734e+01,-7.763447761535644531e+00
6.422073347494006157e-04,-1.060493946075439453e+01,-1.087530136108398438e+01,-7.794096469879150391e+00
6.878371350467205048e-04,-1.063412857055664062e+01,-1.090403270721435547e+01,-7.823695182800292969e+00
7.360898889601230621e-04,-1.066159915924072266e+01,-1.093099403381347656e+01,-7.852152347564697266e+00
7.870878907851874828e-04,-1.068722152709960938e+01,-1.095604515075683594e+01,-7.879377841949462891e+00
8.409577421844005585e-04,-1.071085453033447266e+01,-1.097904872894287109e+01,-7.905280113220214844e+00
8.978302939794957638e-04,-1.073236179351806641e+01,-1.099985408782958984e+01,-7.929762363433837891e+00
9.578405297361314297e-04,-1.075160980224609375e+01,-1.101833152770996094e+01,-7.952707290649414062e+00
1.021128031425178051e-03,-1.076846599578857422e+01,-1.103433036804199219e+01,-7.974003791809082031e+00
1.087836571969091892e-03,-1.078279018402099609e+01,-1.104772186279296875e+01,-7.993542671203613281e+00
1.158114057034254074e-03,-1.079443359375000000e+01,-1.105834579467773438e+01,-8.011233329772949219e+00
1.232113339938223362e-03,-1.080325603485107422e+01,-1.106609058380126953e+01,-8.026970863342285156e+00
1.309990882873535156e-03,-1.080912399291992188e+01,-1.107079410552978516e+01,-8.040654182434082031e+00
1.391907921060919762e-03,-1.081191539764404297e+01,-1.107236099243164062e+01,-8.052155494689941406e+00
1.478029880672693253e-03,-1.081150913238525391e+01,-1.107063579559326172e+01,-8.061376571655273438e+00
1.568526029586791992e-03,-1.080779552459716797e+01,-1.106553840637207031e+01,-8.068212509155273438e+00
1.663570525124669075e-03,-1.080067157745361328e+01,-1.105692195892333984e+01,-8.072565078735351562e+00
1.763340784236788750e-03,-1.079004096984863281e+01,-1.104470920562744141e+01,-8.074322700500488281e+00
1.868018996901810169e-03,-1.077580261230468750e+01,-1.102880859375000000e+01,-8.073417663574218750e+00
1.977790845558047295e-03,-1.075786685943603516e+01,-1.100913143157958984e+01,-8.069818496704101562e+00
2.092845970764756203e-03,-1.073616790771484375e+01,-1.098561477661132812e+01,-8.063515663146972656e+00
2.213377738371491432e-03,-1.071064949035644531e+01,-1.095819950103759766e+01,-8.054459571838378906e+00
2.339583588764071465e-03,-1.068126869201660156e+01,-1.092684364318847656e+01,-8.042531013488769531e+00
2.471664221957325935e-03,-1.064800262451171875e+01,-1.089151096343994141e+01,-8.027640342712402344e+00
2.609823597595095634e-03,-1.061082649230957031e+01,-1.085218811035156250e+01,-8.009740829467773438e+00
2.754269633442163467e-03,-1.056972885131835938e+01,-1.080887222290039062e+01,-7.988810539245605469e+00
2.905213041231036186e-03,-1.052470970153808594e+01,-1.076156902313232422e+01,-7.964831352233886719e+00
3.062868257984519005e-03,-1.047579765319824219e+01,-1.071030521392822266e+01,-7.937809944152832031e+00
3.227452281862497330e-03,-1.042303752899169922e+01,-1.065512371063232422e+01,-7.907764911651611328e+00
3.399185370653867722e-03,-1.036647605895996094e+01,-1.059607219696044922e+01,-7.874716758728027344e+00
