X,Baseline,Min,Max
1.394652599628898315e-06,-3.809087276458740234e+00,-3.828790903091430664e+00,-3.529454708099365234e+00
6.163956186355790123e-06,-3.886588573455810547e+00,-3.907262086868286133e+00,-3.605450868606567383e+00
1.534626971988473088e-05,-3.975552082061767578e+00,-3.996894836425781250e+00,-3.690951585769653320e+00
3.023051613126881421e-05,-4.073916435241699219e+00,-4.095328330993652344e+00,-3.786285638809204102e+00
5.240907921688631177e-05,-4.180758953094482422e+00,-4.202085971832275391e+00,-3.892055511474609375e+00
8.383968088310211897e-05,-4.295419216156005859e+00,-4.316605091094970703e+00,-4.007219314575195312e+00
1.269167696591466665e-04,-4.417339324951171875e+00,-4.438379764556884766e+00,-4.128240108489990234e+00
1.845523947849869728e-04,-4.545732498168945312e+00,-4.566634654998779297e+00,-4.250994205474853516e+00
2.602657186798751354e-04,-4.679306507110595703e+00,-4.700073242187500000e+00,-4.375010013580322266e+00
3.582793287932872772e-04,-4.816137790679931641e+00,-4.836814403533935547e+00,-4.503617286682128906e+00
4.836183506995439529e-04,-4.953635215759277344e+00,-4.974223613739013672e+00,-4.636822700500488281e+00
6.422073347494006157e-04,-5.088458061218261719e+00,-5.108927249908447266e+00,-4.770127773284912109e+00
8.409577421844005585e-04,-5.216525554656982422e+00,-5.236747264862060547e+00,-4.897651672363281250e+00
1.087836571969091892e-03,-5.333033084869384766e+00,-5.352823734283447266e+00,-5.014118671417236328e+00
1.391907921060919762e-03,-5.432560920715332031e+00,-5.451890945434570312e+00,-5.114824295043945312e+00
1.763340784236788750e-03,-5.509605407714843750e+00,-5.528567790985107422e+00,-5.195081710815429688e+00
2.213377738371491432e-03,-5.559122562408447266e+00,-5.577719211578369141e+00,-5.250269412994384766e+00
2.754269633442163467e-03,-5.577123641967773438e+00,-5.595380783081054688e+00,-5.276021480560302734e+00
3.399185370653867722e-03,-5.561012744903564453e+00,-5.578844547271728516e+00,-5.269177913665771484e+00
4.162112250924110413e-03,-5.510081768035888672e+00,-5.527368068695068359e+00,-5.228726387023925781e+00
5.057768896222114563e-03,-5.425364494323730469e+00,-5.442011833190917969e+00,-5.155594825744628906e+00
6.101547274738550186e-03,-5.309707164764404297e+00,-5.325546741485595703e+00,-5.052397251129150391e+00
7.309496868401765823e-03,-5.167351245880126953e+00,-5.182220935821533203e+00,-4.923017501831054688e+00
8.698353543877601624e-03,-5.003221511840820312e+00,-5.017106533050537109e+00,-4.772161960601806641e+00
1.028561685234308243e-02,-4.822599411010742188e+00,-4.835615634918212891e+00,-4.604928016662597656e+00
1.208965852856636047e-02,-4.630740642547607422e+00,-4.642945766448974609e+00,-4.426328182220458984e+00
1.412985753268003464e-02,-4.432429790496826172e+00,-4.443830490112304688e+00,-4.240954875946044922e+00
1.642673276364803314e-02,-4.231756210327148438e+00,-4.242377281188964844e+00,-4.052749633789062500e+00
1.900209486484527588e-02,-4.032051086425781250e+00,-4.041939735412597656e+00,-3.864920139312744141e+00
2.187915891408920288e-02,-3.835902214050292969e+00,-3.845113039016723633e+00,-3.679991722106933594e+00
2.508267015218734741e-02,-3.645220041275024414e+00,-3.653810977935791016e+00,-3.499862194061279297e+00
2.863898128271102905e-02,-3.461325407028198242e+00,-3.469356060028076172e+00,-3.325852394104003906e+00
