6.669999999999999714e-03,1.019999999999999992e-04
8.999999999999999320e-03,1.368999999999999937e-04
1.220000000000000077e-02,2.889999999999999774e-04
1.640000000000000138e-02,5.904999999999999876e-04
2.220000000000000098e-02,1.082000000000000062e-03
2.989999999999999949e-02,1.696999999999999941e-03
4.039999999999999841e-02,2.125000000000000153e-03
5.449999999999999983e-02,2.256000000000000193e-03
7.359999999999999876e-02,2.304000000000000058e-03
9.940000000000000224e-02,2.520000000000000104e-03
1.340000000000000080e-01,2.641999999999999817e-03
1.809999999999999942e-01,2.621000000000000066e-03
2.449999999999999956e-01,2.611000000000000040e-03
3.300000000000000155e-01,2.694000000000000214e-03
4.460000000000000075e-01,2.724999999999999992e-03
6.019999999999999796e-01,2.788000000000000114e-03
8.129999999999999449e-01,2.735000000000000018e-03
1.100000000000000089e+00,2.788000000000000114e-03
1.479999999999999982e+00,2.746000000000000177e-03
2.000000000000000000e+00,2.905000000000000030e-03
1.330000000000000071e+00,2.798000000000000140e-03
1.500000000000000000e+00,2.893999999999999871e-03
1.669999999999999929e+00,2.830000000000000050e-03
1.830000000000000071e+00,2.916000000000000189e-03
2.000000000000000000e+00,3.102000000000000157e-03
2.169999999999999929e+00,3.046999999999999795e-03
2.330000000000000071e+00,2.948000000000000100e-03
2.500000000000000000e+00,3.079999999999999839e-03
2.669999999999999929e+00,3.014000000000000186e-03
2.830000000000000071e+00,2.873000000000000120e-03
3.000000000000000000e+00,2.958999999999999825e-03
3.169999999999999929e+00,2.798000000000000140e-03
3.330000000000000071e+00,2.873000000000000120e-03
3.500000000000000000e+00,2.766999999999999928e-03
3.669999999999999929e+00,2.724999999999999992e-03
3.830000000000000071e+00,2.694000000000000214e-03
4.000000000000000000e+00,2.621000000000000066e-03
4.169999999999999929e+00,2.569999999999999802e-03
4.330000000000000071e+00,2.449999999999999921e-03
4.500000000000000000e+00,2.459999999999999947e-03
