h,max,baseline,min
7.595957325011351569e-03,4.603367547000000171e-01,4.535582183999999906e-01,4.535582183999999906e-01
5.298471776018999838e-03,4.848556796999999863e-01,4.724407644999999989e-01,4.724407644999999989e-01
3.687310157963220262e-03,4.934574171000000176e-01,4.823509782000000023e-01,4.777256120999999744e-01
