h,max,baseline,min
7.595957325011351569e-03,3.072580836000000093e-01,3.047748156000000264e-01,3.047748156000000264e-01
5.298471776018999838e-03,2.941958915999999813e-01,2.910135759999999960e-01,2.893048858000000223e-01
3.687310157963220262e-03,2.918764704999999848e-01,2.890482034999999894e-01,2.876613677000000036e-01
