h,max,baseline,min
7.595957325011351569e-03,5.770170418000000051e-02,4.919268957000000331e-02,4.356243631000000088e-02
5.298471776018999838e-03,5.424081297000000329e-02,4.616284346999999927e-02,3.997248730999999888e-02
3.687310157963220262e-03,5.246149047999999759e-02,4.484090737000000215e-02,3.859165878999999688e-02
