h,max,baseline,min
1.940790727572352589e-02,2.118698139000000161e-02,1.903592109000000129e-02,1.670191992999999972e-02
9.723776068617528273e-03,1.960272532000000012e-02,1.684353992999999827e-02,1.480682265999999983e-02
4.866672725104000986e-03,1.980510376000000142e-02,1.677342874999999955e-02,1.506695884999999929e-02
