h,max,baseline,min
1.940790727572352589e-02,5.426345111000000498e-01,5.312989028000000280e-01,5.143566840000000084e-01
9.723776068617528273e-03,5.507238318999999604e-01,4.342615015999999883e-01,3.270405935999999847e-01
4.866672725104000986e-03,5.481903436999999712e-01,4.430431885000000181e-01,2.992973797999999852e-01
