X,Pressure_Coefficient
-8.483268479729870470e-02,-1.461387173174674370e+00
-8.458536314876459461e-02,-1.733592356715908611e+00
-6.516293355772825868e-02,-1.839955195768367968e+00
-7.092050731024068799e-02,-1.708550522541651517e+00
-4.742578239357744807e-02,-1.692886842100034706e+00
-8.585189655689912103e-03,-1.752301441585022435e+00
1.299156299418871563e-02,-1.736639368721147658e+00
1.125385247123883437e-02,-1.375317234533013355e-01
8.849203838874858397e-03,1.205920627101224607e-01
2.607957645770653254e-03,4.021786151394801667e-01
-5.059664977182326551e-03,2.488611062085801517e-01
-1.056839335109452382e-02,5.330663924408729493e-02
-4.293173738497785275e-02,-3.432681927026770552e-02
-3.191175559875822354e-02,2.660469864959015274e-01
-3.887106594299841178e-02,5.053941695250525612e-01
-4.966375224726771176e-02,6.524386104744767101e-01
-6.021778039680764083e-02,8.385932214068136936e-01
-7.196945283446920527e-02,9.856368585673669358e-01
-7.987233787086128745e-02,6.711860762621773002e-01
