X,Pressure_Coefficient
8.894201499268457045e-01,-2.399131226603837153e+00
8.932443120087421029e-01,-3.012696840413953581e+00
9.084374305661795379e-01,-2.923641300078572591e+00
9.266568056602260128e-01,-2.512961957262969559e+00
9.456186958583323587e-01,-1.676747422209770910e+00
9.676386669192809098e-01,-1.300707223394217849e+00
9.866232168433439753e-01,-1.021152755466083306e+00
1.017759723724049437e+00,-6.080079277516374781e-01
1.041161355784647524e+00,-3.408264913774885496e-01
1.071166465777964705e+00,-1.330266220332743110e-01
1.093578339919036635e+00,-5.139799936842592842e-02
1.105354910218030451e+00,-2.913940124701164258e-02
1.033142982587542447e+00,6.438486032106098822e-01
9.571559385931174280e-01,7.255424317454324257e-01
8.754653821911186906e-01,9.235201395925588530e-01
8.812024309931085764e-01,-1.662063906484023690e-02
