X,Pressure_Coefficient
4.909735203321699548e-02,-9.816888670897230273e-01
4.012135393957236285e-02,-4.733026933808164749e+00
4.626577872514617273e-02,-5.842962730887197864e+00
6.602664826828519296e-02,-5.188245271084165999e+00
8.435596069935058505e-02,-4.782268420031472900e+00
1.062768999404384851e-01,-4.212026684820585842e+00
1.598527403312628992e-01,-3.942122986771112281e+00
1.915181598186895817e-01,-3.005803732466344691e+00
2.037257075070219581e-01,-2.304160639657835130e+00
2.371627084911743233e-01,-2.029580624890367169e+00
2.871441140551400650e-01,-1.823038090886988982e+00
3.957458979205247807e-01,-1.700923958405982095e+00
4.496856027879839179e-01,-1.583548838174901441e+00
4.971532614012366680e-01,-1.506071311935111012e+00
5.902919815901250811e-01,-1.405089523828922715e+00
6.945793726987183891e-01,-1.320524578672105154e+00
7.467235253720350130e-01,-1.294668293088688138e+00
7.722558128437158054e-01,-1.268834312646439422e+00
7.970690566235039132e-01,-1.250040729472269518e+00
8.164880034029606826e-01,-1.231251667610498757e+00
8.384244193880061591e-01,-1.217153692087225458e+00
8.709133399244466389e-01,1.074009186103038749e-01
7.626264824790927044e-01,6.888070576763819508e-01
6.126652217780270693e-01,6.816415707652656586e-01
4.515559431844280991e-01,6.674269453820994569e-01
3.361159629931023685e-01,7.400747317031575179e-01
2.098855603250344704e-01,8.784182233793911276e-01
1.559403700293370276e-01,9.581573470882236432e-01
1.239329017730274596e-01,1.005062483477491941e+00
9.300540306297527815e-02,1.012076355712831166e+00
7.754338422995293856e-02,9.533984410637404983e-01
